tick,timestamp,mid_price,bid_price,ask_price,inventory,cash,realized_pnl,unrealized_pnl,total_pnl,trade_count,volatility,reservation_price,half_spread
1388,2387000,52850,57050,57250,200,-10720000,0,0,0,1,0.018401,52850,50
1389,2388000,52950,57050,57250,200,-10720000,0,0,0,1,0.0184018,52950,50
1390,2389000,53050,57050,57250,200,-10720000,0,0,0,1,0.0184982,53050,50
1391,2390000,52850,57050,57250,200,-10720000,0,0,0,1,0.0188799,52850,50
1392,2391000,52650,57050,57250,200,-10720000,0,0,0,1,0.0191646,52650,50
1393,2392000,52550,57050,57250,200,-10720000,0,0,0,1,0.0192586,52550,50
1394,2393000,52550,57050,57250,200,-10720000,0,0,0,1,0.018886,52550,50
1395,2394000,52450,57050,57250,200,-10720000,0,0,0,1,0.0189818,52450,50
1396,2395000,52250,57050,57250,200,-10720000,0,0,0,1,0.0189891,52250,50
1397,2396000,52350,57050,57250,200,-10720000,0,0,0,1,0.0189909,52350,50
1398,2397000,52350,57050,57250,200,-10720000,0,0,0,1,0.0186115,52350,50
1399,2398000,52150,57050,57250,200,-10720000,0,0,0,1,0.0186247,52150,50
1400,2399000,51950,57050,57250,200,-10720000,0,0,0,1,0.0186409,51950,50
1401,2400000,52150,57050,57250,200,-10720000,0,0,0,1,0.0186571,52150,50
1402,2401000,51950,57050,57250,200,-10720000,0,0,0,1,0.0189557,51950,50
1403,2402000,51950,57050,57250,200,-10720000,0,0,0,1,0.0185799,51950,50
1404,2403000,52150,57050,57250,200,-10720000,0,0,0,1,0.0188801,52150,50
1405,2404000,52350,57050,57250,200,-10720000,0,0,0,1,0.0192642,52350,50
1406,2405000,52250,57050,57250,200,-10720000,0,0,0,1,0.0189896,52250,50
1407,2406000,52150,57050,57250,200,-10720000,0,0,0,1,0.019086,52150,50
1408,2407000,52150,57050,57250,200,-10720000,0,0,0,1,0.0187085,52150,50
1409,2408000,52350,57050,57250,200,-10720000,0,0,0,1,0.0190023,52350,50
1410,2409000,52550,57050,57250,200,-10720000,0,0,0,1,0.0192887,52550,50
1411,2410000,52750,57050,57250,200,-10720000,0,0,0,1,0.0192901,52750,50
1412,2411000,52650,57050,57250,200,-10720000,0,0,0,1,0.0192901,52650,50
1413,2412000,52850,57050,57250,200,-10720000,0,0,0,1,0.0195677,52850,50
1414,2413000,52950,57050,57250,200,-10720000,0,0,0,1,0.0192926,52950,50
1415,2414000,52750,57050,57250,200,-10720000,0,0,0,1,0.0195698,52750,50
1416,2415000,52550,57050,57250,200,-10720000,0,0,0,1,0.0198459,52550,50
1417,2416000,52750,57050,57250,200,-10720000,0,0,0,1,0.0201179,52750,50
1418,2417000,52850,57050,57250,200,-10720000,0,0,0,1,0.0201186,52850,50
1419,2418000,53050,57050,57250,200,-10720000,0,0,0,1,0.0201186,53050,50
1420,2419000,53150,57050,57250,200,-10720000,0,0,0,1,0.0201176,53150,50
1421,2420000,53250,57050,57250,200,-10720000,0,0,0,1,0.0201162,53250,50
1422,2421000,53150,57050,57250,200,-10720000,0,0,0,1,0.0198449,53150,50
1423,2422000,53250,57050,57250,200,-10720000,0,0,0,1,0.0199338,53250,50
1424,2423000,53250,57050,57250,200,-10720000,0,0,0,1,0.0199338,53250,50
1425,2424000,53450,57050,57250,200,-10720000,0,0,0,1,0.0201942,53450,50
1426,2425000,53450,57050,57250,200,-10720000,0,0,0,1,0.0201049,53450,50
1427,2426000,53550,57050,57250,200,-10720000,0,0,0,1,0.0198324,53550,50
1428,2427000,53450,57050,57250,200,-10720000,0,0,0,1,0.0195589,53450,50
1429,2428000,53550,57050,57250,200,-10720000,0,0,0,1,0.0196481,53550,50
1430,2429000,53550,57050,57250,200,-10720000,0,0,0,1,0.0195573,53550,50
1431,2430000,53650,57050,57250,200,-10720000,0,0,0,1,0.019646,53650,50
1432,2431000,53650,57050,57250,200,-10720000,0,0,0,1,0.019646,53650,50
1433,2432000,53750,57050,57250,200,-10720000,0,0,0,1,0.0193679,53750,50
1434,2433000,53850,57050,57250,200,-10720000,0,0,0,1,0.0190853,53850,50
1435,2434000,53950,57050,57250,200,-10720000,0,0,0,1,0.018801,53950,50
1436,2435000,54150,57050,57250,200,-10720000,0,0,0,1,0.0187871,54150,50
1437,2436000,54150,57050,57250,200,-10720000,0,0,0,1,0.0186918,54150,50
1438,2437000,54250,57050,57250,200,-10720000,0,0,0,1,0.0187826,54250,50
1439,2438000,54450,57050,57250,200,-10720000,0,0,0,1,0.0190461,54450,50
1440,2439000,54550,57050,57250,200,-10720000,0,0,0,1,0.019041,54550,50
1441,2440000,54650,57050,57250,200,-10720000,0,0,0,1,0.0187523,54650,50
1442,2441000,54450,57050,57250,200,-10720000,0,0,0,1,0.0187274,54450,50
1443,2442000,54250,57050,57250,200,-10720000,0,0,0,1,0.0189906,54250,50
1444,2443000,54050,57050,57250,200,-10720000,0,0,0,1,0.0193464,54050,50
1445,2444000,54050,57050,57250,200,-10720000,0,0,0,1,0.0192524,54050,50
1446,2445000,54050,57050,57250,200,-10720000,0,0,0,1,0.0188696,54050,50
1447,2446000,54250,57050,57250,200,-10720000,0,0,0,1,0.0191323,54250,50
1448,2447000,54250,57050,57250,200,-10720000,0,0,0,1,0.0191323,54250,50
1449,2448000,54450,57050,57250,200,-10720000,0,0,0,1,0.0191033,54450,50
1450,2449000,54350,57050,57250,200,-10720000,0,0,0,1,0.0188029,54350,50
1451,2450000,54150,57050,57250,200,-10720000,0,0,0,1,0.0187717,54150,50
1452,2451000,53950,57050,57250,200,-10720000,0,0,0,1,0.0187431,53950,50
1453,2452000,54050,57050,57250,200,-10720000,0,0,0,1,0.0188344,54050,50
1454,2453000,54150,57050,57250,200,-10720000,0,0,0,1,0.0185307,54150,50
1455,2454000,54350,57050,57250,200,-10720000,0,0,0,1,0.018502,54350,50
1456,2455000,54550,57050,57250,200,-10720000,0,0,0,1,0.018766,54550,50
1457,2456000,54550,57050,57250,200,-10720000,0,0,0,1,0.0186679,54550,50
1458,2457000,54650,57050,57250,200,-10720000,0,0,0,1,0.0187575,54650,50
1459,2458000,54450,57050,57250,200,-10720000,0,0,0,1,0.0187253,54450,50
1460,2459000,54650,57050,57250,200,-10720000,0,0,0,1,0.0186959,54650,50
1461,2460000,54850,57050,57250,200,-10720000,0,0,0,1,0.0186669,54850,50
1462,2461000,54850,57050,57250,200,-10720000,0,0,0,1,0.0185702,54850,50
1463,2462000,54850,57050,57250,200,-10720000,0,0,0,1,0.018179,54850,50
1464,2463000,54750,57050,57250,200,-10720000,0,0,0,1,0.0181723,54750,50
1465,2464000,54650,57050,57250,200,-10720000,0,0,0,1,0.0178677,54650,50
1466,2465000,54550,57050,57250,200,-10720000,0,0,0,1,0.017555,54550,50
1467,2466000,54450,57050,57250,200,-10720000,0,0,0,1,0.017237,54450,50
