tick,timestamp,mid_price,bid_price,ask_price,inventory,cash,realized_pnl,unrealized_pnl,total_pnl,trade_count,volatility,reservation_price,half_spread
2458,3457000,48050,57050,57250,200,-10700000,0,0,0,1,0.00288253,48050,50
2459,3458000,48050,57050,57250,200,-10700000,0,0,0,1,0.00287049,48050,50
2460,3459000,47850,57050,57250,200,-10700000,0,0,0,1,0.00293524,47850,50
2461,3460000,47850,57050,57250,200,-10700000,0,0,0,1,0.00292167,47850,50
2462,3461000,47850,57050,57250,200,-10700000,0,0,0,1,0.00290501,47850,50
2463,3462000,47950,57050,57250,200,-10700000,0,0,0,1,0.00286055,47950,50
2464,3463000,48050,57050,57250,200,-10700000,0,0,0,1,0.00280721,48050,50
2465,3464000,48250,57050,57250,200,-10700000,0,0,0,1,0.00286074,48250,50
2466,3465000,48450,57050,57250,200,-10700000,0,0,0,1,0.0028364,48450,50
2467,3466000,48350,57050,57250,200,-10700000,0,0,0,1,0.00283554,48350,50
2468,3467000,48550,57050,57250,200,-10700000,0,0,0,1,0.00283303,48550,50
2469,3468000,48650,57050,57250,200,-10700000,0,0,0,1,0.00276097,48650,50
2470,3469000,48750,57050,57250,200,-10700000,0,0,0,1,0.002741,48750,50
2471,3470000,48850,57050,57250,200,-10700000,0,0,0,1,0.00265549,48850,50
2472,3471000,48750,57050,57250,200,-10700000,0,0,0,1,0.00265368,48750,50
2473,3472000,48950,57050,57250,200,-10700000,0,0,0,1,0.00264945,48950,50
2474,3473000,48850,57050,57250,200,-10700000,0,0,0,1,0.002677,48850,50
2475,3474000,49050,57050,57250,200,-10700000,0,0,0,1,0.00267302,49050,50
2476,3475000,48950,57050,57250,200,-10700000,0,0,0,1,0.00269957,48950,50
2477,3476000,49050,57050,57250,200,-10700000,0,0,0,1,0.00269883,49050,50
2478,3477000,49250,57050,57250,200,-10700000,0,0,0,1,0.00270844,49250,50
2479,3478000,49450,57050,57250,200,-10700000,0,0,0,1,0.00274284,49450,50
2480,3479000,49350,57050,57250,200,-10700000,0,0,0,1,0.0026763,49350,50
2481,3480000,49450,57050,57250,200,-10700000,0,0,0,1,0.00264359,49450,50
2482,3481000,49250,57050,57250,200,-10700000,0,0,0,1,0.0026968,49250,50
2483,3482000,49450,57050,57250,200,-10700000,0,0,0,1,0.00273008,49450,50
2484,3483000,49350,57050,57250,200,-10700000,0,0,0,1,0.00272789,49350,50
2485,3484000,49350,57050,57250,200,-10700000,0,0,0,1,0.00272589,49350,50
2486,3485000,49550,57050,57250,200,-10700000,0,0,0,1,0.0027253,49550,50
2487,3486000,49550,57050,57250,200,-10700000,0,0,0,1,0.0027253,49550,50
2488,3487000,49550,57050,57250,200,-10700000,0,0,0,1,0.00268996,49550,50
2489,3488000,49450,57050,57250,200,-10700000,0,0,0,1,0.00268002,49450,50
2490,3489000,49450,57050,57250,200,-10700000,0,0,0,1,0.00264991,49450,50
2491,3490000,49650,57050,57250,200,-10700000,0,0,0,1,0.00265138,49650,50
2492,3491000,49650,57050,57250,200,-10700000,0,0,0,1,0.00261406,49650,50
2493,3492000,49650,57050,57250,200,-10700000,0,0,0,1,0.00258186,49650,50
2494,3493000,49650,57050,57250,200,-10700000,0,0,0,1,0.00254235,49650,50
2495,3494000,49850,57050,57250,200,-10700000,0,0,0,1,0.00253782,49850,50
2496,3495000,49650,57050,57250,200,-10700000,0,0,0,1,0.00262597,49650,50
2497,3496000,49650,57050,57250,200,-10700000,0,0,0,1,0.00262597,49650,50
2498,3497000,49450,57050,57250,200,-10700000,0,0,0,1,0.00270943,49450,50
2499,3498000,49250,57050,57250,200,-10700000,0,0,0,1,0.00278861,49250,50
2500,3499000,49450,57050,57250,200,-10700000,0,0,0,1,0.00274247,49450,50
2501,3500000,49350,57050,57250,200,-10700000,0,0,0,1,0.00274078,49350,50
2502,3501000,49450,57050,57250,200,-10700000,0,0,0,1,0.00270308,49450,50
2503,3502000,49350,57050,57250,200,-10700000,0,0,0,1,0.00272326,49350,50
2504,3503000,49150,57050,57250,200,-10700000,0,0,0,1,0.00280115,49150,50
2505,3504000,48950,57050,57250,200,-10700000,0,0,0,1,0.00285224,48950,50
2506,3505000,48950,57050,57250,200,-10700000,0,0,0,1,0.00280492,48950,50
2507,3506000,48950,57050,57250,200,-10700000,0,0,0,1,0.00275473,48950,50
2508,3507000,49050,57050,57250,200,-10700000,0,0,0,1,0.00276403,49050,50
2509,3508000,48850,57050,57250,200,-10700000,0,0,0,1,0.0028345,48850,50
2510,3509000,48750,57050,57250,200,-10700000,0,0,0,1,0.00278219,48750,50
2511,3510000,48550,57050,57250,200,-10700000,0,0,0,1,0.00285186,48550,50
2512,3511000,48450,57050,57250,200,-10700000,0,0,0,1,0.00287061,48450,50
2513,3512000,48650,57050,57250,200,-10700000,0,0,0,1,0.00291045,48650,50
2514,3513000,48650,57050,57250,200,-10700000,0,0,0,1,0.00289937,48650,50
2515,3514000,48450,57050,57250,200,-10700000,0,0,0,1,0.00290782,48450,50
2516,3515000,48350,57050,57250,200,-10700000,0,0,0,1,0.00286422,48350,50
2517,3516000,48350,57050,57250,200,-10700000,0,0,0,1,0.00284957,48350,50
2518,3517000,48250,57050,57250,200,-10700000,0,0,0,1,0.00280172,48250,50
2519,3518000,48150,57050,57250,200,-10700000,0,0,0,1,0.00279709,48150,50
2520,3519000,48350,57050,57250,200,-10700000,0,0,0,1,0.0028458,48350,50
2521,3520000,48550,57050,57250,200,-10700000,0,0,0,1,0.00289264,48550,50
2522,3521000,48350,57050,57250,200,-10700000,0,0,0,1,0.00293466,48350,50
2523,3522000,48250,57050,57250,200,-10700000,0,0,0,1,0.00288216,48250,50
2524,3523000,48250,57050,57250,200,-10700000,0,0,0,1,0.00287143,48250,50
2525,3524000,48150,57050,57250,200,-10700000,0,0,0,1,0.00281447,48150,50
2526,3525000,47950,57050,57250,200,-10700000,0,0,0,1,0.00285503,47950,50
2527,3526000,48150,57050,57250,200,-10700000,0,0,0,1,0.00290648,48150,50
2528,3527000,48350,57050,57250,200,-10700000,0,0,0,1,0.00290882,48350,50
2529,3528000,48250,57050,57250,200,-10700000,0,0,0,1,0.00284836,48250,50
2530,3529000,48050,57050,57250,200,-10700000,0,0,0,1,0.00288662,48050,50
2531,3530000,48050,57050,57250,200,-10700000,0,0,0,1,0.00286457,48050,50
2532,3531000,47950,57050,57250,200,-10700000,0,0,0,1,0.0028298,47950,50
2533,3532000,47950,57050,57250,200,-10700000,0,0,0,1,0.00275427,47950,50
2534,3533000,47950,57050,57250,200,-10700000,0,0,0,1,0.00274814,47950,50
2535,3534000,48150,57050,57250,200,-10700000,0,0,0,1,0.00282625,48150,50
2536,3535000,48150,57050,57250,200,-10700000,0,0,0,1,0.00275215,48150,50
2537,3536000,48150,57050,57250,200,-10700000,0,0,0,1,0.00275215,48150,50
2538,3537000,47950,57050,57250,200,-10700000,0,0,0,1,0.00279615,47950,50
2539,3538000,47750,57050,57250,200,-10700000,0,0,0,1,0.00283331,47750,50
2540,3539000,47950,57050,57250,200,-10700000,0,0,0,1,0.00291326,47950,50
2541,3540000,47750,57050,57250,200,-10700000,0,0,0,1,0.0028777,47750,50
2542,3541000,47950,57050,57250,200,-10700000,0,0,0,1,0.00295872,47950,50
2543,3542000,47750,57050,57250,200,-10700000,0,0,0,1,0.00299666,47750,50
2544,3543000,47750,57050,57250,200,-10700000,0,0,0,1,0.00299666,47750,50
2545,3544000,47850,57050,57250,200,-10700000,0,0,0,1,0.00294662,47850,50
2546,3545000,47650,57050,57250,200,-10700000,0,0,0,1,0.00295038,47650,50
2547,3546000,47750,57050,57250,200,-10700000,0,0,0,1,0.00297654,47750,50
2548,3547000,47850,57050,57250,200,-10700000,0,0,0,1,0.00296611,47850,50
2549,3548000,47850,57050,57250,200,-10700000,0,0,0,1,0.00292735,47850,50
2550,3549000,47950,57050,57250,200,-10700000,0,0,0,1,0.0028777,47950,50
2551,3550000,47950,57050,57250,200,-10700000,0,0,0,1,0.00287184,47950,50
2552,3551000,48050,57050,57250,200,-10700000,0,0,0,1,0.00287292,48050,50
2553,3552000,48150,57050,57250,200,-10700000,0,0,0,1,0.00288889,48150,50
2554,3553000,47950,57050,57250,200,-10700000,0,0,0,1,0.00289143,47950,50
2555,3554000,47850,57050,57250,200,-10700000,0,0,0,1,0.00285531,47850,50
2556,3555000,47650,57050,57250,200,-10700000,0,0,0,1,0.00290181,47650,50
2557,3556000,47650,57050,57250,200,-10700000,0,0,0,1,0.00290181,47650,50
2558,3557000,47650,57050,57250,200,-10700000,0,0,0,1,0.00287951,47650,50
2559,3558000,47450,57050,57250,200,-10700000,0,0,0,1,0.00288249,47450,50
2560,3559000,47650,57050,57250,200,-10700000,0,0,0,1,0.00295101,47650,50
2561,3560000,47650,57050,57250,200,-10700000,0,0,0,1,0.00290495,47650,50
2562,3561000,47450,57050,57250,200,-10700000,0,0,0,1,0.0029451,47450,50
2563,3562000,47450,57050,57250,200,-10700000,0,0,0,1,0.00287379,47450,50
2564,3563000,47550,57050,57250,200,-10700000,0,0,0,1,0.00289614,47550,50
2565,3564000,47350,57050,57250,200,-10700000,0,0,0,1,0.00289858,47350,50
2566,3565000,47350,57050,57250,200,-10700000,0,0,0,1,0.0028901,47350,50
2567,3566000,47350,57050,57250,200,-10700000,0,0,0,1,0.0028901,47350,50
2568,3567000,47350,57050,57250,200,-10700000,0,0,0,1,0.00288094,47350,50
2569,3568000,47550,57050,57250,200,-10700000,0,0,0,1,0.00294074,47550,50
2570,3569000,47650,57050,57250,200,-10700000,0,0,0,1,0.00289317,47650,50
2571,3570000,47550,57050,57250,200,-10700000,0,0,0,1,0.00283367,47550,50
2572,3571000,47750,57050,57250,200,-10700000,0,0,0,1,0.0028552,47750,50
2573,3572000,47850,57050,57250,200,-10700000,0,0,0,1,0.00286157,47850,50
2574,3573000,47950,57050,57250,200,-10700000,0,0,0,1,0.00287888,47950,50
2575,3574000,47750,57050,57250,200,-10700000,0,0,0,1,0.00292215,47750,50
2576,3575000,47550,57050,57250,200,-10700000,0,0,0,1,0.00292311,47550,50
2577,3576000,47750,57050,57250,200,-10700000,0,0,0,1,0.00292415,47750,50
2578,3577000,47950,57050,57250,200,-10700000,0,0,0,1,0.00292517,47950,50
2579,3578000,48150,57050,57250,200,-10700000,0,0,0,1,0.00297377,48150,50
2580,3579000,48250,57050,57250,200,-10700000,0,0,0,1,0.00292902,48250,50
2581,3580000,48050,57050,57250,200,-10700000,0,0,0,1,0.0029885,48050,50
2582,3581000,48250,57050,57250,200,-10700000,0,0,0,1,0.00302883,48250,50
2583,3582000,48050,57050,57250,200,-10700000,0,0,0,1,0.00308751,48050,50
